 RANCH version 2.1 - r(10584)
 Started: ............................................... : Wed Oct 17 11:39:55 2018
 iSeed .................................................. : 1906904818
 Chain type ............................................. : Random
 Sequence file name: .................................... : ctfcp1_w_a927c.fasta
 Symmetry: .............................................. : p1
 Symmetry type: ......................................... : aSymmetric
 Number of residues per chain: .......................... : 86
 Number of atoms: ....................................... : 86
 Number of domains: ..................................... : 0
 Contact file name: ..................................... : None
 Number of structures: .................................. : 10000
 Suffix of the pdb files: ............................... : eom
 Output Folder Path: .................................... : ./
 Number of experimental curves: ......................... : 0
 Structure number         Seed       Type(0=aSymm,1=Symm,2=noSymm)
     806               1906905623     2
     807               1906905624     2
     808               1906905625     2
     809               1906905626     2
     810               1906905627     2
     811               1906905628     2
     812               1906905629     2
     813               1906905630     2
     814               1906905631     2
     815               1906905632     2
     816               1906905633     2
     817               1906905634     2
     818               1906905635     2
     819               1906905636     2
     820               1906905637     2
     821               1906905638     2
     822               1906905639     2
     823               1906905640     2
     824               1906905641     2
     825               1906905642     2
     826               1906905643     2
     827               1906905644     2
     828               1906905645     2
     829               1906905646     2
     830               1906905647     2
     831               1906905648     2
     832               1906905649     2
     833               1906905650     2
     834               1906905651     2
     835               1906905652     2
     836               1906905653     2
     837               1906905654     2
     838               1906905655     2
     839               1906905656     2
     840               1906905657     2
     841               1906905658     2
     842               1906905659     2
     843               1906905660     2
     844               1906905661     2
     845               1906905662     2
     846               1906905663     2
     847               1906905664     2
     848               1906905665     2
     849               1906905666     2
     850               1906905667     2
     851               1906905668     2
     852               1906905669     2
     853               1906905670     2
     854               1906905671     2
     855               1906905672     2
     856               1906905673     2
     857               1906905674     2
     858               1906905675     2
     859               1906905676     2
     860               1906905677     2
     861               1906905678     2
     862               1906905679     2
     863               1906905680     2
     864               1906905681     2
     865               1906905682     2
     866               1906905683     2
     867               1906905684     2
     868               1906905685     2
     869               1906905686     2
     870               1906905687     2
     871               1906905688     2
     872               1906905689     2
     873               1906905690     2
     874               1906905691     2
     875               1906905692     2
     876               1906905693     2
     877               1906905694     2
     878               1906905695     2
     879               1906905696     2
     880               1906905697     2
     881               1906905698     2
     882               1906905699     2
     883               1906905700     2
     884               1906905701     2
     885               1906905702     2
     886               1906905703     2
     887               1906905704     2
     888               1906905705     2
     889               1906905706     2
     890               1906905707     2
     891               1906905708     2
     892               1906905709     2
     893               1906905710     2
     894               1906905711     2
     895               1906905712     2
     896               1906905713     2
     897               1906905714     2
     898               1906905715     2
     899               1906905716     2
     900               1906905717     2
     901               1906905718     2
     902               1906905719     2
     903               1906905720     2
     904               1906905721     2
     905               1906905722     2
     906               1906905723     2
     907               1906905724     2
     908               1906905725     2
     909               1906905726     2
     910               1906905727     2
     911               1906905728     2
     912               1906905729     2
     913               1906905730     2
     914               1906905731     2
     915               1906905732     2
     916               1906905733     2
     917               1906905734     2
     918               1906905735     2
     919               1906905736     2
     920               1906905737     2
     921               1906905738     2
     922               1906905739     2
     923               1906905740     2
     924               1906905741     2
     925               1906905742     2
     926               1906905743     2
     927               1906905744     2
     928               1906905745     2
     929               1906905746     2
     930               1906905747     2
     931               1906905748     2
     932               1906905749     2
     933               1906905750     2
     934               1906905751     2
     935               1906905752     2
     936               1906905753     2
     937               1906905754     2
     938               1906905755     2
     939               1906905756     2
     940               1906905757     2
     941               1906905758     2
     942               1906905759     2
     943               1906905760     2
     944               1906905761     2
     945               1906905762     2
     946               1906905763     2
     947               1906905764     2
     948               1906905765     2
     949               1906905766     2
     950               1906905767     2
     951               1906905768     2
     952               1906905769     2
     953               1906905770     2
     954               1906905771     2
     955               1906905772     2
     956               1906905773     2
     957               1906905774     2
     958               1906905775     2
     959               1906905776     2
     960               1906905777     2
     961               1906905778     2
     962               1906905779     2
     963               1906905780     2
     964               1906905781     2
     965               1906905782     2
     966               1906905783     2
     967               1906905784     2
     968               1906905785     2
     969               1906905786     2
     970               1906905787     2
     971               1906905788     2
     972               1906905789     2
     973               1906905790     2
     974               1906905791     2
     975               1906905792     2
     976               1906905793     2
     977               1906905794     2
     978               1906905795     2
     979               1906905796     2
     980               1906905797     2
     981               1906905798     2
     982               1906905799     2
     983               1906905800     2
     984               1906905801     2
     985               1906905802     2
     986               1906905803     2
     987               1906905804     2
     988               1906905805     2
     989               1906905806     2
     990               1906905807     2
     991               1906905808     2
     992               1906905809     2
     993               1906905810     2
     994               1906905811     2
     995               1906905812     2
     996               1906905813     2
     997               1906905814     2
     998               1906905815     2
     999               1906905816     2
    1000               1906905817     2
    1001               1906905818     2
    1002               1906905819     2
    1003               1906905820     2
    1004               1906905821     2
    1005               1906905822     2
    1006               1906905823     2
    1007               1906905824     2
    1008               1906905825     2
    1009               1906905826     2
    1010               1906905827     2
    1011               1906905828     2
    1012               1906905829     2
    1013               1906905830     2
    1014               1906905831     2
    1015               1906905832     2
    1016               1906905833     2
    1017               1906905834     2
